,Unnamed: 0,homeAbbr,margin,FGPctHome,normMargin
0,0,ATL,2.5020451770451806,0.4402444444444445,1.21580428675613
1,1,BOS,7.482142857142861,0.4614540178571429,1.6453434644213984
2,2,BRK,7.006020021645021,0.4962679924242424,1.6042773198667022
3,3,CHI,6.11855158730159,0.4568167410714285,1.5277321422459527
4,4,CHO,-7.5395991161616145,0.4468993303571429,0.349700866867671
5,5,CLE,-6.432102272727278,0.4586640625,0.44522374893819594
6,6,DAL,-4.86222492784993,0.4474601773226773,0.5806274833767391
7,7,DEN,9.783333333333333,0.4725166666666666,1.8438238012116228
8,8,DET,-0.9393398268398272,0.4158916666666667,0.9189808548572282
9,9,GSW,-5.488458994708992,0.4531901154401154,0.5266140717162389
10,10,HOU,-8.815476190476197,0.4528080357142857,0.23965499537940238
11,11,IND,2.7252570346320404,0.4747766571969697,1.2350565673160399
12,12,LAC,4.115327380952365,0.4849598214285714,1.3549517404250935
13,13,MIA,-5.856619769119773,0.4790907986111112,0.49485977964261163
14,14,MIL,6.883630952380947,0.4965212797619048,1.5937211212650162
15,15,MIN,-3.2968479437229377,0.4443891369047619,0.7156430565019749
16,16,NOP,-3.2600671897546936,0.4608629464285714,0.7188154390190018
17,17,NYK,-5.74806547619047,0.4421428571428572,0.5042227128041903
18,18,OKC,-8.28471528471529,0.4466258116883117,0.28543373660942206
19,19,ORL,-7.837175324675329,0.4301924107142857,0.32403457513838474
20,20,PHI,10.042261904761908,0.4850156250000001,1.866156689598521
21,21,PHO,-1.479117063492069,0.4678440476190476,0.8724244446726217
22,22,POR,6.44077380952379,0.437984375,1.5555241811274239
23,23,SAC,11.594047619047627,0.47985,2.0
24,24,SAS,0.2827230639730587,0.452617040945166,1.0243851908550539
25,25,TOR,-4.99860885642136,0.4358314732142858,0.56886421199364
26,26,UTA,3.0275297619047628,0.4599696180555556,1.2611279392134715
27,27,WAS,2.212263431013433,0.4660089285714286,1.190810276419682
